Rule ID,Property,Question,Answer,Action,Reason shown to the guest,Owner verdict (keep / change / remove),Comment
R761,Patikipa,Who's coming,A group of friends,EXCLUDE,"Sleeps 2, not enough beds for a group of friends",,
R762,Patikipa,Who's coming,A big get-together,-6,,,
R763,Patikipa,Who's coming,A big get-together,EXCLUDE,"Sleeps 2, not enough beds for a big group",,
R764,Patikipa,Must have,The dog comes too,+10,Dogs welcome,,
R765,Patikipa,Must have,A mooring for our boat,+10,A mooring at the property,,
R766,Patikipa,Must have,Everything on one level,+10,Everything on one level,,
R767,Patikipa,Must have,A hot tub,-2,,,
R768,Patikipa,Must have,A river view,+8,On the main river,,
R769,Patikipa,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R770,Patikipa,Your time,Out on the water,+3,Straight out onto the main river,,
R771,Patikipa,Your time,Fishing,+8,Fishing from the garden or close by,,
R772,Patikipa,Your time,Fishing,+3,Right on the water,,
R773,Patikipa,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R774,Patikipa,Your time,Walking and wildlife,+2,A garden to come back to,,
R775,Patikipa,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R776,Patikipa,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R777,Patikipa,Your time,Doing very little,+3,A garden to yourselves,,
R778,Patikipa,Where,Wroxham and Hoveton,-5,,,
R779,Patikipa,Where,Horning,-5,,,
R780,Patikipa,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R781,Patikipa,Where,"Reedham, Brundall and the Yare",-5,,,
R782,Patikipa,Where,Somewhere quiet and rural,-5,,,
R783,Poppy,How many,3 or 4,EXCLUDE,"Sleeps 2, not enough beds for 3 to 4",,
R784,Poppy,How many,5 or 6,EXCLUDE,"Sleeps 2, not enough beds for 5 to 6",,
R785,Poppy,How many,7 or 8,EXCLUDE,"Sleeps 2, not enough beds for 7 to 8",,
R786,Poppy,How many,9 to 12,EXCLUDE,"Sleeps 2, not enough beds for 9 to 12",,
R787,Poppy,How many,13 or more,EXCLUDE,"Sleeps 2, not enough beds for 13 or more",,
R788,Poppy,Who's coming,Just the two of us,+8,Made for two,,
R789,Poppy,Who's coming,Just me,+5,Small enough to feel like your own,,
R790,Poppy,Who's coming,Just me,+3,Cosy for one,,
R791,Poppy,Who's coming,Family with children,+2,A garden for the children,,
R792,Poppy,Who's coming,Family with children,EXCLUDE,"Sleeps 2, not enough beds for a family",,
R793,Poppy,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R794,Poppy,Who's coming,A group of friends,EXCLUDE,"Sleeps 2, not enough beds for a group of friends",,
R795,Poppy,Who's coming,A big get-together,-6,,,
R796,Poppy,Who's coming,A big get-together,EXCLUDE,"Sleeps 2, not enough beds for a big group",,
R797,Poppy,Must have,The dog comes too,+10,Dogs welcome,,
R798,Poppy,Must have,A mooring for our boat,-8,,,
R799,Poppy,Must have,Everything on one level,-8,,,
R800,Poppy,Must have,A hot tub,-2,,,
R801,Poppy,Must have,A river view,-6,,,
R802,Poppy,Your time,Out on the water,-4,,,
R803,Poppy,Your time,Fishing,-4,,,
R804,Poppy,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R805,Poppy,Your time,Walking and wildlife,+2,A garden to come back to,,
R806,Poppy,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R807,Poppy,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R808,Poppy,Your time,Doing very little,+3,A garden to yourselves,,
R809,Poppy,Your time,Doing very little,-2,,,
R810,Poppy,Where,Wroxham and Hoveton,-5,,,
R811,Poppy,Where,Horning,-5,,,
R812,Poppy,Where,Potter Heigham and the Thurne,-5,,,
R813,Poppy,Where,"Reedham, Brundall and the Yare",-5,,,
R814,Poppy,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R815,Rebel,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R816,Rebel,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R817,Rebel,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R818,Rebel,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R819,Rebel,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R820,Rebel,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R821,Rebel,Who's coming,Just me,+5,Small enough to feel like your own,,
R822,Rebel,Who's coming,Family with children,+4,Set up for families,,
R823,Rebel,Who's coming,Family with children,+2,A garden for the children,,
R824,Rebel,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R825,Rebel,Who's coming,A big get-together,-6,,,
R826,Rebel,Must have,The dog comes too,+10,Dogs welcome,,
R827,Rebel,Must have,A mooring for our boat,-8,,,
R828,Rebel,Must have,Everything on one level,-8,,,
R829,Rebel,Must have,A hot tub,-2,,,
R830,Rebel,Must have,A river view,+8,On the main river,,
R831,Rebel,Your time,Out on the water,+3,Straight out onto the main river,,
R832,Rebel,Your time,Out on the water,-4,,,
R833,Rebel,Your time,Fishing,+3,Right on the water,,
R834,Rebel,Your time,Walking and wildlife,+2,A garden to come back to,,
R835,Rebel,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R836,Rebel,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R837,Rebel,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R838,Rebel,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R839,Rebel,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R840,Rebel,Your time,Doing very little,+3,A garden to yourselves,,
R841,Rebel,Your time,Doing very little,-2,,,
R842,Rebel,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R843,Rebel,Where,Horning,-5,,,
R844,Rebel,Where,Potter Heigham and the Thurne,-5,,,
R845,Rebel,Where,"Reedham, Brundall and the Yare",-5,,,
R846,Rebel,Where,Somewhere quiet and rural,-5,,,
R847,Rendezvous,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R848,Rendezvous,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R849,Rendezvous,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R850,Rendezvous,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R851,Rendezvous,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R852,Rendezvous,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R853,Rendezvous,Who's coming,Just me,+5,Small enough to feel like your own,,
R854,Rendezvous,Who's coming,Family with children,+2,A garden for the children,,
R855,Rendezvous,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R856,Rendezvous,Who's coming,A big get-together,-6,,,
R857,Rendezvous,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R858,Rendezvous,Must have,A mooring for our boat,+10,A mooring at the property,,
R859,Rendezvous,Must have,Everything on one level,-8,,,
R860,Rendezvous,Must have,A hot tub,-2,,,
R861,Rendezvous,Must have,A river view,+8,On the main river,,
R862,Rendezvous,Your time,Out on the water,+8,A day boat comes with the cottage,,
R863,Rendezvous,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R864,Rendezvous,Your time,Out on the water,+3,Straight out onto the main river,,
R865,Rendezvous,Your time,Fishing,+8,Fishing from the garden or close by,,
R866,Rendezvous,Your time,Fishing,+3,Right on the water,,
R867,Rendezvous,Your time,Walking and wildlife,+2,A garden to come back to,,
R868,Rendezvous,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R869,Rendezvous,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R870,Rendezvous,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R871,Rendezvous,Your time,Doing very little,+3,A garden to yourselves,,
R872,Rendezvous,Your time,Doing very little,-2,,,
R873,Rendezvous,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R874,Rendezvous,Where,Horning,-5,,,
R875,Rendezvous,Where,Potter Heigham and the Thurne,-5,,,
R876,Rendezvous,Where,"Reedham, Brundall and the Yare",-5,,,
R877,Rendezvous,Where,Somewhere quiet and rural,-5,,,
R878,Riverside Lodge,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R879,Riverside Lodge,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R880,Riverside Lodge,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R881,Riverside Lodge,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R882,Riverside Lodge,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R883,Riverside Lodge,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R884,Riverside Lodge,Who's coming,Just me,+5,Small enough to feel like your own,,
R885,Riverside Lodge,Who's coming,Family with children,+4,Set up for families,,
R886,Riverside Lodge,Who's coming,Family with children,+2,A garden for the children,,
R887,Riverside Lodge,Who's coming,A big get-together,-6,,,
R888,Riverside Lodge,Must have,The dog comes too,+10,Dogs welcome,,
R889,Riverside Lodge,Must have,A mooring for our boat,+10,A mooring at the property,,
R890,Riverside Lodge,Must have,Everything on one level,+10,Everything on one level,,
R891,Riverside Lodge,Must have,A hot tub,-2,,,
R892,Riverside Lodge,Must have,A river view,+8,On the main river,,
R893,Riverside Lodge,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R894,Riverside Lodge,Your time,Out on the water,+3,Straight out onto the main river,,
R895,Riverside Lodge,Your time,Fishing,+8,Fishing from the garden or close by,,
R896,Riverside Lodge,Your time,Fishing,+3,Right on the water,,
R897,Riverside Lodge,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R898,Riverside Lodge,Your time,Walking and wildlife,+2,A garden to come back to,,
R899,Riverside Lodge,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R900,Riverside Lodge,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R901,Riverside Lodge,Your time,Doing very little,+3,A garden to yourselves,,
R902,Riverside Lodge,Where,Wroxham and Hoveton,-5,,,
R903,Riverside Lodge,Where,Horning,-5,,,
R904,Riverside Lodge,Where,Potter Heigham and the Thurne,-5,,,
R905,Riverside Lodge,Where,"Reedham, Brundall and the Yare",+8,"In Reedham, Brundall and the Yare, where you asked",,
R906,Riverside Lodge,Where,Somewhere quiet and rural,-5,,,
R907,Riversmead Cottage,How many,3 or 4,-12,,,
R908,Riversmead Cottage,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R909,Riversmead Cottage,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R910,Riversmead Cottage,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R911,Riversmead Cottage,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R912,Riversmead Cottage,Who's coming,Just the two of us,-6,,,
R913,Riversmead Cottage,Who's coming,Just me,-4,,,
R914,Riversmead Cottage,Who's coming,Family with children,+2,A garden for the children,,
R915,Riversmead Cottage,Who's coming,A big get-together,+6,Room for a big get-together,,
R916,Riversmead Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R917,Riversmead Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R918,Riversmead Cottage,Must have,Everything on one level,+10,Everything on one level,,
R919,Riversmead Cottage,Must have,A hot tub,-2,,,
R920,Riversmead Cottage,Must have,A river view,+8,On the main river,,
R921,Riversmead Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R922,Riversmead Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R923,Riversmead Cottage,Your time,Fishing,+3,Right on the water,,
R924,Riversmead Cottage,Your time,Walking and wildlife,+2,A garden to come back to,,
R925,Riversmead Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R926,Riversmead Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R927,Riversmead Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R928,Riversmead Cottage,Your time,Doing very little,+3,A garden to yourselves,,
R929,Riversmead Cottage,Where,Wroxham and Hoveton,-5,,,
R930,Riversmead Cottage,Where,Horning,+8,"In Horning, where you asked",,
R931,Riversmead Cottage,Where,Potter Heigham and the Thurne,-5,,,
R932,Riversmead Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R933,Riversmead Cottage,Where,Somewhere quiet and rural,-5,,,
R934,Rookery Lakes Cabin,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R935,Rookery Lakes Cabin,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R936,Rookery Lakes Cabin,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R937,Rookery Lakes Cabin,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R938,Rookery Lakes Cabin,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R939,Rookery Lakes Cabin,Who's coming,Just me,-4,,,
R940,Rookery Lakes Cabin,Who's coming,Family with children,+4,Set up for families,,
R941,Rookery Lakes Cabin,Who's coming,Family with children,+2,A garden for the children,,
R942,Rookery Lakes Cabin,Must have,The dog comes too,+10,Dogs welcome,,
R943,Rookery Lakes Cabin,Must have,A mooring for our boat,-8,,,
R944,Rookery Lakes Cabin,Must have,Everything on one level,+10,Everything on one level,,
R945,Rookery Lakes Cabin,Must have,A hot tub,-2,,,
R946,Rookery Lakes Cabin,Must have,A river view,+4,Right by the water,,
R947,Rookery Lakes Cabin,Your time,Out on the water,-4,,,
R948,Rookery Lakes Cabin,Your time,Fishing,+8,Fishing from the garden or close by,,
R949,Rookery Lakes Cabin,Your time,Fishing,+3,Right on the water,,
R950,Rookery Lakes Cabin,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R951,Rookery Lakes Cabin,Your time,Walking and wildlife,+2,A garden to come back to,,
R952,Rookery Lakes Cabin,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R953,Rookery Lakes Cabin,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R954,Rookery Lakes Cabin,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R955,Rookery Lakes Cabin,Your time,Doing very little,+3,A garden to yourselves,,
R956,Rookery Lakes Cabin,Where,Wroxham and Hoveton,-5,,,
R957,Rookery Lakes Cabin,Where,Horning,-5,,,
R958,Rookery Lakes Cabin,Where,Potter Heigham and the Thurne,-5,,,
R959,Rookery Lakes Cabin,Where,"Reedham, Brundall and the Yare",+8,"In Reedham, Brundall and the Yare, where you asked",,
R960,Rookery Lakes Cabin,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R961,Royal Retreat,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R962,Royal Retreat,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R963,Royal Retreat,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R964,Royal Retreat,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R965,Royal Retreat,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R966,Royal Retreat,Who's coming,Just me,-4,,,
R967,Royal Retreat,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R968,Royal Retreat,Must have,A mooring for our boat,+10,A mooring at the property,,
R969,Royal Retreat,Must have,Everything on one level,+10,Everything on one level,,
R970,Royal Retreat,Must have,A hot tub,-2,,,
R971,Royal Retreat,Must have,A river view,+4,Right by the water,,
R972,Royal Retreat,Your time,Out on the water,+8,A day boat comes with the cottage,,
R973,Royal Retreat,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R974,Royal Retreat,Your time,Fishing,+8,Fishing from the garden or close by,,
R975,Royal Retreat,Your time,Fishing,+3,Right on the water,,
R976,Royal Retreat,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R977,Royal Retreat,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R978,Royal Retreat,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R979,Royal Retreat,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R980,Royal Retreat,Where,Horning,-5,,,
R981,Royal Retreat,Where,Potter Heigham and the Thurne,-5,,,
R982,Royal Retreat,Where,"Reedham, Brundall and the Yare",-5,,,
R983,Royal Retreat,Where,Somewhere quiet and rural,-5,,,
R984,Swan Cottage,How many,3 or 4,-12,,,
R985,Swan Cottage,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R986,Swan Cottage,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R987,Swan Cottage,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R988,Swan Cottage,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R989,Swan Cottage,Who's coming,Just the two of us,-6,,,
R990,Swan Cottage,Who's coming,Just me,-4,,,
R991,Swan Cottage,Who's coming,A big get-together,+6,Room for a big get-together,,
R992,Swan Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R993,Swan Cottage,Must have,A mooring for our boat,-8,,,
R994,Swan Cottage,Must have,Everything on one level,-8,,,
R995,Swan Cottage,Must have,A hot tub,-2,,,
R996,Swan Cottage,Must have,A river view,-6,,,
R997,Swan Cottage,Your time,Out on the water,-4,,,
R998,Swan Cottage,Your time,Fishing,-4,,,
R999,Swan Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R1000,Swan Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R1001,Swan Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R1002,Swan Cottage,Where,Wroxham and Hoveton,-5,,,
R1003,Swan Cottage,Where,Horning,+8,"In Horning, where you asked",,
R1004,Swan Cottage,Where,Potter Heigham and the Thurne,-5,,,
R1005,Swan Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R1006,Swan Cottage,Where,Somewhere quiet and rural,-5,,,
R1007,The Boat House,How many,3 or 4,-12,,,
R1008,The Boat House,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R1009,The Boat House,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R1010,The Boat House,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R1011,The Boat House,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R1012,The Boat House,Who's coming,Just the two of us,-6,,,
R1013,The Boat House,Who's coming,Just me,-4,,,
R1014,The Boat House,Who's coming,Family with children,+4,Set up for families,,
R1015,The Boat House,Who's coming,A big get-together,+6,Room for a big get-together,,
R1016,The Boat House,Must have,The dog comes too,+10,Dogs welcome,,
R1017,The Boat House,Must have,A mooring for our boat,+10,A mooring at the property,,
R1018,The Boat House,Must have,Everything on one level,-8,,,
R1019,The Boat House,Must have,A hot tub,-2,,,
R1020,The Boat House,Must have,A river view,+8,On the main river,,
R1021,The Boat House,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R1022,The Boat House,Your time,Out on the water,+3,Straight out onto the main river,,
R1023,The Boat House,Your time,Fishing,+3,Right on the water,,
R1024,The Boat House,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R1025,The Boat House,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R1026,The Boat House,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R1027,The Boat House,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R1028,The Boat House,Where,Wroxham and Hoveton,-5,,,
R1029,The Boat House,Where,Horning,+8,"In Horning, where you asked",,
R1030,The Boat House,Where,Potter Heigham and the Thurne,-5,,,
R1031,The Boat House,Where,"Reedham, Brundall and the Yare",-5,,,
R1032,The Boat House,Where,Somewhere quiet and rural,-5,,,
R1033,The Cottage,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R1034,The Cottage,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R1035,The Cottage,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R1036,The Cottage,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R1037,The Cottage,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R1038,The Cottage,Who's coming,Just me,-4,,,
R1039,The Cottage,Who's coming,Family with children,+4,Set up for families,,
R1040,The Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R1041,The Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R1042,The Cottage,Must have,Everything on one level,-8,,,
R1043,The Cottage,Must have,A hot tub,-2,,,
R1044,The Cottage,Must have,A river view,+8,On the main river,,
R1045,The Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R1046,The Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R1047,The Cottage,Your time,Fishing,+3,Right on the water,,
R1048,The Cottage,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R1049,The Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R1050,The Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R1051,The Cottage,Where,Wroxham and Hoveton,-5,,,
R1052,The Cottage,Where,Horning,-5,,,
R1053,The Cottage,Where,Potter Heigham and the Thurne,-5,,,
R1054,The Cottage,Where,"Reedham, Brundall and the Yare",+8,"In Reedham, Brundall and the Yare, where you asked",,
R1055,The Cottage,Where,Somewhere quiet and rural,-5,,,
R1056,The Firs,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R1057,The Firs,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R1058,The Firs,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R1059,The Firs,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R1060,The Firs,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R1061,The Firs,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R1062,The Firs,Who's coming,Just me,+5,Small enough to feel like your own,,
R1063,The Firs,Who's coming,Family with children,+4,Set up for families,,
R1064,The Firs,Who's coming,Family with children,+2,A garden for the children,,
R1065,The Firs,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R1066,The Firs,Who's coming,A big get-together,-6,,,
R1067,The Firs,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R1068,The Firs,Must have,A mooring for our boat,+10,A mooring at the property,,
R1069,The Firs,Must have,Everything on one level,+10,Everything on one level,,
R1070,The Firs,Must have,Everything on one level,+3,Step-free access,,
R1071,The Firs,Must have,A hot tub,-2,,,
R1072,The Firs,Must have,A river view,+4,Right by the water,,
R1073,The Firs,Your time,Out on the water,+8,A day boat comes with the cottage,,
R1074,The Firs,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R1075,The Firs,Your time,Fishing,+8,Fishing from the garden or close by,,
R1076,The Firs,Your time,Fishing,+3,Right on the water,,
R1077,The Firs,Your time,Walking and wildlife,+2,A garden to come back to,,
R1078,The Firs,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R1079,The Firs,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R1080,The Firs,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R1081,The Firs,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R1082,The Firs,Your time,Doing very little,+3,A garden to yourselves,,
R1083,The Firs,Your time,Doing very little,-2,,,
R1084,The Firs,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R1085,The Firs,Where,Horning,-5,,,
R1086,The Firs,Where,Potter Heigham and the Thurne,-5,,,
R1087,The Firs,Where,"Reedham, Brundall and the Yare",-5,,,
R1088,The Firs,Where,Somewhere quiet and rural,-5,,,
R1089,The Moorings,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R1090,The Moorings,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R1091,The Moorings,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R1092,The Moorings,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R1093,The Moorings,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R1094,The Moorings,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R1095,The Moorings,Who's coming,Just me,+5,Small enough to feel like your own,,
R1096,The Moorings,Who's coming,Family with children,+4,Set up for families,,
R1097,The Moorings,Who's coming,Family with children,+2,A garden for the children,,
R1098,The Moorings,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R1099,The Moorings,Who's coming,A big get-together,-6,,,
R1100,The Moorings,Must have,The dog comes too,+10,Dogs welcome,,
R1101,The Moorings,Must have,A mooring for our boat,+10,A mooring at the property,,
R1102,The Moorings,Must have,Everything on one level,+10,Everything on one level,,
R1103,The Moorings,Must have,Everything on one level,+3,Step-free access,,
R1104,The Moorings,Must have,A hot tub,-2,,,
R1105,The Moorings,Must have,A river view,+4,Right by the water,,
R1106,The Moorings,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R1107,The Moorings,Your time,Fishing,+8,Fishing from the garden or close by,,
R1108,The Moorings,Your time,Fishing,+3,Right on the water,,
R1109,The Moorings,Your time,Walking and wildlife,+2,A garden to come back to,,
R1110,The Moorings,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R1111,The Moorings,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R1112,The Moorings,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R1113,The Moorings,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R1114,The Moorings,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R1115,The Moorings,Your time,Doing very little,+3,A garden to yourselves,,
R1116,The Moorings,Your time,Doing very little,-2,,,
R1117,The Moorings,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R1118,The Moorings,Where,Horning,-5,,,
R1119,The Moorings,Where,Potter Heigham and the Thurne,-5,,,
R1120,The Moorings,Where,"Reedham, Brundall and the Yare",-5,,,
R1121,The Moorings,Where,Somewhere quiet and rural,-5,,,
R1122,The River House,How many,3 or 4,-5,,,
R1123,The River House,How many,5 or 6,+2,"Sleeps 7, with a bed or two spare",,
R1124,The River House,How many,7 or 8,+6,"Sleeps 7, the right size for your party",,
R1125,The River House,How many,9 to 12,EXCLUDE,"Sleeps 7, not enough beds for 9 to 12",,
R1126,The River House,How many,13 or more,EXCLUDE,"Sleeps 7, not enough beds for 13 or more",,
R1127,The River House,Who's coming,Just me,-4,,,
R1128,The River House,Who's coming,Family with children,+4,Set up for families,,
R1129,The River House,Must have,The dog comes too,+10,Dogs welcome,,
R1130,The River House,Must have,A mooring for our boat,+10,A mooring at the property,,
R1131,The River House,Must have,Everything on one level,+10,Everything on one level,,
R1132,The River House,Must have,A hot tub,-2,,,
R1133,The River House,Must have,A river view,+8,On the main river,,
R1134,The River House,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R1135,The River House,Your time,Out on the water,+3,Straight out onto the main river,,
R1136,The River House,Your time,Fishing,+8,Fishing from the garden or close by,,
R1137,The River House,Your time,Fishing,+3,Right on the water,,
R1138,The River House,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R1139,The River House,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R1140,The River House,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
